TMTID(VTM),FSN,CHANGEDATE
964164,dimetindene + phenylephrine hydrochloride (VTM),20151207
1278570,dinalbuphine sebacate (VTM),20230805
649056,dinoprostone (VTM),20131005
720628,diosmectite (VTM),20140118
312754,diosmin (VTM),20141012
737524,diosmin + hesperidin (VTM),20140214
955772,diphenhydramine hydrochloride (VTM),20150805
625899,diphenhydramine hydrochloride + guaifenesin + paracetamol + pseudoephedrine hydrochloride (VTM),20131005
614343,diphenhydramine hydrochloride + guaifenesin + sodium citrate (VTM),20131005
975749,diphenhydramine hydrochloride + paracetamol (VTM),20160305
961285,diphenhydramine hydrochloride + paracetamol + pseudoephedrine hydrochloride (VTM),20151018
614565,diphenhydramine hydrochloride + pseudoephedrine hydrochloride (VTM),20131005
843089,diphenidol hydrochloride (VTM),20140901
1049197,diphenylcyclopropenone (VTM),20190103
877391,diphenylpyraline-8-chlorotheophyllinate (VTM),20150105
717481,diphtheria antitoxin (VTM),20140118
1004962,diphtheria toxoid + filamentous haemagglutinin (FHA) + recombinant pertussis toxin (rPT) + tetanus toxoid (VTM),20170316
980992,diphtheria toxoid + haemophilus influenzae type b vaccine + hepatitis B virus vaccine + pertussis + tetanus toxoid (VTM),20160417
669133,"diphtheria toxoid + haemophilus influenzae type b vaccine + hepatitis B virus vaccine + pertussis vaccine, acellular + poliomyelitis, inactived type 1 (vero cell) + poliomyelitis, inactived type 2 (vero cell) + poliomyelitis, inactived type 3 (vero cell) + tetanus toxoid (VTM)",20131130
1119409,"diphtheria toxoid + haemophilus influenzae type b vaccine + hepatitis B virus vaccine + pertussis vaccine, whole cell + tetanus toxoid (VTM)",20190714
669069,"diphtheria toxoid + haemophilus influenzae type b vaccine + pertussis vaccine, acellular + poliomyelitis, inactived type 1 (vero cell) + poliomyelitis, inactived type 2 (vero cell) + poliomyelitis, inactived type 3 (vero cell) + tetanus toxoid (VTM)",20131130
673448,"diphtheria toxoid + haemophilus influenzae type b vaccine + pertussis vaccine, acellular + tetanus toxoid (VTM)",20131215
669893,"diphtheria toxoid + haemophilus influenzae type b vaccine + pertussis vaccine, whole cell + poliomyelitis, inactived type 1 (vero cell) + poliomyelitis, inactived type 2 (vero cell) + poliomyelitis, inactived type 3 (vero cell) + tetanus toxoid (VTM)",20131130
792140,"diphtheria toxoid + haemophilus influenzae type b vaccine + pertussis vaccine, whole cell + tetanus toxoid (VTM)",20140519
673597,"diphtheria toxoid + hepatitis B virus vaccine + pertussis vaccine, acellular + tetanus toxoid (VTM)",20131215
672932,"diphtheria toxoid + hepatitis B virus vaccine + pertussis vaccine, whole cell + tetanus toxoid (VTM)",20131215
846133,"diphtheria toxoid + hepatitis B virus vaccine + pertussis, inactived + tetanus toxoid (VTM)",20140914
668321,"diphtheria toxoid + pertussis vaccine, acellular + poliomyelitis, inactived type 1 (vero cell) + poliomyelitis, inactived type 2 (vero cell) + poliomyelitis, inactived type 3 (vero cell) + tetanus toxoid (VTM)",20131130
560948,"diphtheria toxoid + pertussis vaccine, acellular + tetanus toxoid (VTM)",20190617
741608,"diphtheria toxoid + pertussis vaccine, inactivated bordetella + tetanus toxoid (VTM)",20140304
669599,"diphtheria toxoid + pertussis vaccine, whole cell + tetanus toxoid (VTM)",20131130
673940,diphtheria toxoid + pneumococcal polysaccharide serotype 1 + pneumococcal polysaccharide serotype 14 + pneumococcal polysaccharide serotype 18C + pneumococcal polysaccharide serotype 19F + pneumococcal polysaccharide serotype 23F + pneumococcal polysaccharide serotype 4 + pneumococcal polysaccharide serotype 5 + pneumococcal polysaccharide serotype 6B + pneumococcal polysaccharide serotype 7F + pneumococcal polysaccharide serotype 9V + protein D + tetanus toxoid (VTM),20131215
668460,diphtheria toxoid + tetanus toxoid (VTM),20131130
532615,dipotassium clorazepate (VTM),20190531
221135,dipyridamole (VTM),20130627
954576,diquafosol sodium (VTM),20150805
221142,disodium clodronate (VTM),20130627
233258,disulfiram (VTM),20130805
705872,dithranol (VTM),20140118
953297,dithranol + salicylic acid (VTM),20150703
763246,dl-alpha-tocopheryl acetate (VTM),20140407
519578,dobutamine (VTM),20130914
221157,docetaxel (VTM),20130627
731304,docusate sodium (VTM),20140202
1293920,dog (Canis familiaris) hair allergen extract (VTM),20240328
1002339,dolutegravir (VTM),20170114
1193963,dolutegravir + emtricitabine + tenofovir alafenamide (VTM),20210715
1232355,dolutegravir + lamivudine (VTM),20220428
1160435,dolutegravir + lamivudine + tenofovir disoproxil fumarate (VTM),20200920
255159,domperidone (VTM),20130805
249077,donepezil hydrochloride (VTM),20130805
963972,dopamine (VTM),20151206
970550,dopamine hydrochloride (VTM),20160117
656825,doripenem (VTM),20131102
521868,dorzolamide (VTM),20130914
522838,dorzolamide + timolol (VTM),20130914
273211,doxazosin (VTM),20130805
443215,doxepin (VTM),20130805
255723,doxofylline (VTM),20130805
221161,doxorubicin hydrochloride (VTM),20130627
226393,doxycycline (VTM),20130805
984572,doxycycline hyclate (VTM),20160515
840126,doxylamine succinate (VTM),20140817
1298390,doxylamine succinate + pyridoxine hydrochloride (VTM),20240516
766800,d-panthenol + nicotinamide + pyridoxine + riboflavin + thiamine (VTM),20140407
763850,dried aluminium hydroxide gel (VTM),20140407
1126024,dried aluminium hydroxide gel + magnesium hydroxide (VTM),20190913
859015,dried aluminium hydroxide gel + magnesium hydroxide + simeticone (VTM),20141019
1139145,dried aluminium hydroxide gel + magnesium trisilicate + menthol (VTM),20200227
1161188,dried aluminium hydroxide gel + magnesium trisilicate + peppermint oil (VTM),20200920
383776,dronedarone (VTM),20130805
1194440,drospirenone (VTM),20210715
1259354,drospirenone + estetrol (VTM),20230401
679434,drospirenone + estradiol (VTM),20140104
683481,drospirenone + ethinylestradiol (VTM),20140104
944327,drospirenone + ethinylestradiol + levomefolate calcium (VTM),20150601
964585,drotaverine hydrochloride (VTM),20151207
1017653,dulaglutide (VTM),20171103
299325,duloxetine (VTM),20130805
1128609,dupilumab (VTM),20191019
1115556,durvalumab (VTM),20190614
255536,dutasteride (VTM),20130805
1001712,dutasteride + tamsulosin hydrochloride (VTM),20161231
319176,dydrogesterone (VTM),20130805
680575,dydrogesterone + estradiol (VTM),20140104
840220,echinaceae angustifoliae + sabal serrulatiaguosum siccum + trospium chloride (VTM),20140817
501637,econazole nitrate (VTM),20130830
501721,econazole nitrate + triamcinolone acetonide (VTM),20130830
1312387,eculizumab (VTM),20241102
1203697,edaravone (VTM),20210930
961926,edetate disodium (VTM),20151018
931516,edetic acid (VTM),20150418
1007001,edoxaban (VTM),20170414
710204,EDTA (VTM),20141012
255429,efavirenz (VTM),20130805
765067,efavirenz + emtricitabine + tenofovir disoproxil fumarate (VTM),20140407
1294469,efavirenz + lamivudine + tenofovir disoproxil fumarate (VTM),20240328
1016865,elbasvir + grazoprevir (VTM),20171012
677197,electrolytes (VTM),20140104
424420,eletriptan (VTM),20130805
1196525,elobixibat (VTM),20210731
1021384,elosulfase alfa (VTM),20171213
426096,eltrombopag (VTM),20130805
1141445,emicizumab (VTM),20200404
965137,empagliflozin (VTM),20151207
1013917,empagliflozin + linagliptin (VTM),20170916
996292,empagliflozin + metformin hydrochloride (VTM),20161106
1159274,emtricitabine + tenofovir alafenamide (VTM),20200904
661993,emtricitabine + tenofovir disoproxil fumarate (VTM),20131102
934011,emulsifying wax + white petrolatum (VTM),20150503
746428,enalapril maleate (VTM),20140324
1283630,enfortumab vedotin (VTM),20230915
720692,enfuvirtide (VTM),20140118
221188,enoxaparin sodium (VTM),20130627
293553,entacapone (VTM),20130805
258188,entecavir (VTM),20130805
1244256,"enterovirus type 71 vaccine, inactivated (human diploid cell) (VTM)",20221014
1167444,entrectinib (VTM),20201202
997163,enzalutamide (VTM),20161117
714416,enzyme extract + herbs (VTM),20140118
644318,enzyme extract from aspergillusoryzae + pancreatin (VTM),20131005
1131468,enzyme extract from n*zimes + ginger rhizome powder extract + peppermint leaf powder extract (VTM),20191115
322648,eperisone hydrochloride (VTM),20130805
705360,ephedrine hydrochloride (VTM),20140118
928966,ephedrine hydrochloride + lidocaine hydrochloride (VTM),20150404
963597,ephedrine hydrochloride + sodium chloride (VTM),20151116
526300,epinastine hydrochloride (VTM),20130914
537006,epinephrine (VTM),20131005
1114060,epinephrine + lidocaine hydrochloride (VTM),20190531
568219,epinephrine + mepivacaine hydrochloride (VTM),20131005
221190,epirubicin hydrochloride (VTM),20130627
877963,epoetin alfa (VTM),20150105
689991,epoetin beta (VTM),20140104
1226103,epoetin theta (VTM),20220316
991542,eprosartan (VTM),20160731
221208,eprosartan + hydrochlorothiazide (VTM),20130627
725340,eptacog alfa (activated) (VTM),20140118
221220,eptifibatide (VTM),20130627
1290352,eptinezumab (VTM),20240111
1177248,erdafitinib (VTM),20210211
684924,erdosteine (VTM),20140104
1127401,erenumab (VTM),20191004
476411,ergocalciferol (VTM),20130805
871804,ergocalciferol + retinyl acetate (VTM),20141129
254402,ergometrine maleate + ergotamine tartrate (VTM),20130805
851587,ergotamine tartrate (VTM),20141004
1002838,eribulin mesilate (VTM),20170205
221231,erlotinib (VTM),20130627
561418,ertapenem (VTM),20131005
322420,erythromycin (VTM),20130805
654449,erythromycin + isotretinoin (VTM),20131102
616023,erythromycin + sulfafurazole (VTM),20131005
875671,erythrosine (VTM),20141214
359484,escitalopram (VTM),20130805
1189995,esflurbiprofen (VTM),20210513
1292434,esketamine (VTM),20240301
989242,esmolol hydrochloride (VTM),20160703
221249,esomeprazole (VTM),20130627
221254,esomeprazole + naproxen (VTM),20130627
740991,essential keto acids (VTM),20140304
686188,essential phospholipids (VTM),20140104
983075,estradiol (VTM),20160430
882459,estradiol + nomegestrol acetate (VTM),20150119
679362,estradiol + norethisterone acetate (VTM),20140104
1105263,estradiol benzoate (VTM),20190331
561642,estradiol benzoate + progesterone (VTM),20131005
680095,estradiol cypionate + medroxyprogesterone acetate (VTM),20140104
682805,estradiol valerate (VTM),20140104
974283,estradiol valerate + medroxyprogesterone acetate (VTM),20160213
980971,estradiol valerate + norgestrel (VTM),20170329
682366,estriol (VTM),20140104
646336,estriol + lactobacillus acidophilus agent (VTM),20131005
268338,etafedrine hydrochloride + guaifenesin + theophylline (VTM),20130805
221265,etanercept (VTM),20130627
1112383,etelcalcetide (VTM),20190504
226994,ethambutol hydrochloride (VTM),20130805
330285,ethambutol hydrochloride + isoniazid + pyrazinamide + rifampicin (VTM),20130805
975777,ethambutol hydrochloride + isoniazid + pyridoxine hydrochloride (VTM),20160305
385611,ethambutol hydrochloride + isoniazid + rifampicin (VTM),20130805
682234,ethinylestradiol + etonogestrel (VTM),20140104
755252,ethinylestradiol + ferrous fumarate + levonorgestrel (VTM),20140407
680988,ethinylestradiol + gestodene (VTM),20140104
681653,ethinylestradiol + levonorgestrel (VTM),20140104
680523,ethinylestradiol + norelgestromin (VTM),20140104
679679,ethinylestradiol + norgestimate (VTM),20140104
776362,ethinylestradiol + norgestrel (VTM),20140420
808044,ethiodized oil (131I) (VTM),20140602
322987,ethionamide (VTM),20130805
707965,ethyl alcohol (VTM),20140118
956699,ethyl alcohol + gentian violet (VTM),20150805
960645,ethyl alcohol + glycerol (VTM),20150922
885636,ethyl alcohol + glycerol + propylene glycol (VTM),20150119
1148933,ethyl alcohol + glycerol + sodium chloride (VTM),20200614
976690,ethyl alcohol + methoxsalen (VTM),20160307
976345,ethyl alcohol + methoxsalen + propylene glycol (VTM),20160307
934237,ethyl alcohol + orange oil (VTM),20150503
918260,ethyl alcohol + orange oil + propylene glycol (VTM),20150404
934510,ethyl alcohol + peppermint oil (VTM),20150503
977031,ethyl alcohol + propylene glycol (VTM),20160307
806778,ethyl chloride (VTM),20140602
685056,ethyl esters of iodized fatty acids of poppy seed oil (VTM),20140104
877256,ethyl p-piperidylacetylaminobenzoate + magcerin (VTM),20150105
968212,ethyladrianol hydrochloride (VTM),20160104
221277,etidronate disodium (VTM),20130627
996957,etifoxine hydrochloride (VTM),20161117
968142,etilefrine hydrochloride (VTM),20160104
221283,etodolac (VTM),20130627
561711,etomidate (VTM),20131005
680445,etonogestrel (VTM),20140104
221296,etoposide (VTM),20130627
221306,etoricoxib (VTM),20130627
349184,etravirine (VTM),20130805
797131,eucalyptus oil (VTM),20140519
1031669,eucalyptus oil + eugenol + menthol + methyl salicylate (VTM),20180601
844889,eucalyptus oil + menthol + methyl salicylate (VTM),20140901
1040668,eucalyptus oil + menthol + methyl salicylate + peppermint oil (VTM),20181010
1285384,eucalyptus oil + menthol + turpentine oil (VTM),20231013
518158,euflavine + thymol (VTM),20130830
780172,eugenol + mannitol + methyl salicylate (VTM),20140420
715212,eugenol + menthol + methyl salicylate (VTM),20140118
964516,eugenol + menthol + methyl salicylate + peppermint oil + turpentine oil (VTM),20151207
739075,eugenol + menthol + methyl salicylate + piroxicam (VTM),20140214
808125,eugenol + menthol + methyl salicylate + thymol (VTM),20140602
221310,everolimus (VTM),20130627
1260238,evogliptin (VTM),20230401
1024360,evolocumab (VTM),20180215
221323,exemestane (VTM),20130627
735118,exenatide (VTM),20140214
221334,ezetimibe (VTM),20130627
1324457,ezetimibe + rosuvastatin (VTM),20250301
221347,ezetimibe + simvastatin (VTM),20130627
867568,factor ix complex (VTM),20141123
724495,factor VIII inhibitor bypassing activity (VTM),20140118
324942,famciclovir (VTM),20130805
221352,famotidine (VTM),20130627
943641,fampridine (VTM),20150601
1245051,faricimab (VTM),20221014
1140904,favipiravir (VTM),20200314
958669,febuxostat (VTM),20150910
1295859,fedratinib (VTM),20240412
221368,felodipine (VTM),20130627
1001346,felodipine + metoprolol succinate (VTM),20161231
221375,fenbufen (VTM),20130627
221381,fenofibrate (VTM),20130627
1026202,fenofibrate + pravastatin sodium (VTM),20180315
822253,fenofibric acid (VTM),20140705
911280,fenoterol hydrobromide + ipratropium bromide (VTM),20150228
824378,fenpiverinium bromide + pitofenone hydrochloride (VTM),20140721
535246,fentanyl (VTM),20130914
952082,ferric ammonium citrate (VTM),20150614
1166994,ferric carboxymaltose (VTM),20201115
1309287,ferric citrate (VTM),20241005
944861,ferric hydroxide polymaltose complex (VTM),20150601
689650,ferrous fumarate (VTM),20140104
1142852,ferrous fumarate + folic acid (VTM),20200404
737374,ferrous fumarate + folic acid + potassium iodide (VTM),20140214
715637,ferrous fumarate + folic acid + pyridoxine (VTM),20140118
940282,ferrous fumarate + multivitamins (VTM),20150515
695944,ferrous sulfate (VTM),20140118
980698,ferrous sulfate + nitric acid + sulfuric acid (VTM),20160404
837933,ferrous sulfate + thiamine (VTM),20140817
718920,fesoterodine fumarate (VTM),20140118
974368,fexofenadine hydrochloride (VTM),20160214
453677,fexofenadine hydrochloride + pseudoephedrine hydrochloride (VTM),20130805
1025927,filamentous haemagglutinin (FHA) + recombinant pertussis toxin (rPT) (VTM),20180315
221399,filgrastim (VTM),20131103
1048752,fimasartan (VTM),20190103
1125258,fimasartan potassium (VTM),20190913
260954,finasteride (VTM),20130805
1285268,finerenone (VTM),20231013
646241,fingolimod (VTM),20131005
1034775,fish oil + medium chain triglycerides + olive oil + soya oil (VTM),20180713
904492,flavoxate hydrochloride (VTM),20150228
650557,flecainide acetate (VTM),20131005
347927,floctafenine (VTM),20130805
263849,fluconazole (VTM),20130805
717273,flucytosine (VTM),20140118
769275,fludarabine phosphate (VTM),20140407
327643,fludrocortisone acetate (VTM),20130805
992406,fludrocortisone acetate + furaltadone hydrochloride + lidocaine hydrochloride + neomycin + polymyxin b sulfate (VTM),20160811
782011,flumazenil (VTM),20140504
832007,flumetasone pivalate + salicylic acid (VTM),20140803
264989,flunarizine (VTM),20130805
534544,flunitrazepam (VTM),20130914
710270,fluocinolone acetonide (VTM),20140118
502319,fluocinolone acetonide + gentamicin (VTM),20130830
992410,fluocinolone acetonide + hydroquinone + tretinoin (VTM),20161016
929020,fluocinolone acetonide + lidocaine hydrochloride (VTM),20150404
502507,fluocinolone acetonide + neomycin sulfate (VTM),20130830
928627,fluocinonide (VTM),20150404
438402,fluocortolone pivalate + lidocaine hydrochloride (VTM),20130805
975796,fluorescein sodium (VTM),20160305
1032397,fluorescein sodium + lidocaine hydrochloride (VTM),20180601
985332,fluorometholone (VTM),20160605
521950,fluorometholone acetate (VTM),20170929
220295,fluorouracil (VTM),20141012
230362,fluoxetine (VTM),20130805
992819,flupentixol (VTM),20160815
905692,flupentixol + melitracen (VTM),20150228
992447,flupentixol decanoate (VTM),20160815
278241,fluphenazine + nortriptyline (VTM),20130805
764452,fluphenazine decanoate (VTM),20140407
221427,flurbiprofen (VTM),20130627
221436,flutamide (VTM),20130627
692497,fluticasone furoate (VTM),20140104
1221477,fluticasone furoate + umeclidinium + vilanterol (VTM),20220203
996743,fluticasone furoate + vilanterol (VTM),20161106
692568,fluticasone propionate (VTM),20140104
1028288,fluticasone propionate + formoterol fumarate dihydrate (VTM),20180505
1151553,fluticasone propionate + salmeterol (VTM),20200718
221443,fluvastatin (VTM),20130627
738192,fluvoxamine (VTM),20140214
645839,fluvoxamine maleate (VTM),20131005
975806,folic acid (VTM),20160305
323254,folic acid + iron (VTM),20130805
849615,folic acid + multivitamins + zinc (VTM),20140914
1262712,folic acid + potassium iodide (VTM),20230513
974231,folinic acid (VTM),20160129
680696,follitropin alfa (VTM),20140104
682544,follitropin alfa + lutropin alfa (VTM),20140104
682996,follitropin beta (VTM),20140104
1220302,follitropin delta (VTM),20211230
221458,fondaparinux sodium (VTM),20130627
503308,formaldehyde (VTM),20130830
956597,formaldehyde + sodium chloride (VTM),20150805
822604,formoterol fumarate dihydrate + mometasone furoate (VTM),20140705
696014,fosaprepitant (VTM),20140118
717343,foscarnet sodium (VTM),20140118
330770,fosfomycin (VTM),20130805
721158,fosfructose trisodium (VTM),20140118
803260,fosphenytoin sodium (VTM),20140602
221462,fotemustine (VTM),20130627
740650,framycetin sulfate (VTM),20140304
1190318,fremanezumab (VTM),20210604
734663,fructose + glycerol + sodium chloride (VTM),20141012
854032,fuller's earth (VTM),20141004
221470,fulvestrant (VTM),20130627
955153,furazolidone (VTM),20150805
621452,furazolidone + kaolin + neomycin (VTM),20131005
621549,furazolidone + kaolin + neomycin + pectin (VTM),20131005
694335,furazolidone + kaolin + pectin (VTM),20140118
818668,furazolidone + metronidazole + phthalylsulfathiazole (VTM),20140705
303999,furosemide (VTM),20130805
580297,fursultiamine (VTM),20131005
1010936,fursultiamine + hydroxocobalamin + mepivacaine hydrochloride + pyridoxine hydrochloride (VTM),20170629
699090,fursultiamine + riboflavin (VTM),20140118
646097,fusidic acid (VTM),20190714
797407,fusidic acid + hydrocortisone acetate (VTM),20140519
322150,gabapentin (VTM),20130805
815915,gadobenate dimeglumine (VTM),20140616
814216,gadobutrol (VTM),20140616
834077,gadodiamide (VTM),20140803
876749,gadopentetic acid (VTM),20150105
805849,gadoteric acid (VTM),20140602
777731,gadoversetamide (VTM),20140420
835260,gadoxetate disodium (VTM),20140803
424837,galantamine (VTM),20130805
1206966,galcanezumab (VTM),20211029
785729,gamma benzene hexachloride (VTM),20140504
782360,gamma-aminobutyric acid (VTM),20140504
221489,gamma-oryzanol (VTM),20130627
299445,ganciclovir (VTM),20130805
834240,ganirelix (VTM),20140803
454905,gatifloxacin (VTM),20130805
221491,gefitinib (VTM),20130627
221502,gemcitabine (VTM),20130627
221518,gemfibrozil (VTM),20130627
1100686,gemifloxacin mesilate (VTM),20190302
1003170,gemigliptin (VTM),20170205
1245290,gemigliptin + metformin hydrochloride (VTM),20221014
503591,gentamicin (VTM),20130830
1001966,gentamicin + hypromellose (VTM),20170114
971066,gentamicin + moxifloxacin (VTM),20160117
524388,gentamicin + prednisolone (VTM),20130914
1144460,gentamicin sulfate + hypromellose (VTM),20200429
883413,gentian violet (VTM),20150119
1256862,gilteritinib (VTM),20230304
221525,gimeracil + oteracil potassium + tegafur (VTM),20130627
675320,ginger tincture + povidone iodine (VTM),20141013
685162,ginkgo biloba extract (VTM),20140104
730566,ginkgo biloba extract + heptaminol + troxerutin (VTM),20140202
685284,ginseng extract (VTM),20140104
835786,ginseng extract + minerals + multivitamins (VTM),20140803
1006290,glacial acetic acid (VTM),20170329
979761,glacial acetic acid + sodium chloride (VTM),20160404
1138144,glatiramer acetate (VTM),20200227
246980,glibenclamide (VTM),20130805
337584,glibenclamide + metformin hydrochloride (VTM),20130805
232135,gliclazide (VTM),20130805
336368,gliclazide + metformin hydrochloride (VTM),20130805
237053,glimepiride (VTM),20130805
237341,glimepiride + metformin hydrochloride (VTM),20130805
733200,glimepiride + rosiglitazone (VTM),20140202
248295,glipizide (VTM),20130805
337891,gliquidone (VTM),20130805
696183,glucosamine sulfate (VTM),20140118
221541,glucosamine sulfate + lidocaine hydrochloride (VTM),20130627
956827,glutamic acid (VTM),20150805
961677,glutaral (VTM),20151018
843516,glutaraldehyde (VTM),20140901
956794,glutaraldehyde + sodium barbiturate (VTM),20150805
710941,glycerine borax (VTM),20140118
265050,glycerol (VTM),20130805
1124219,glycerol + hydrogen peroxide (VTM),20190829
922418,glycerol + lidocaine hydrochloride (VTM),20150404
934612,glycerol + octadecanoic acid + olive oil + potassium hydroxide (VTM),20150503
691615,glycerol + polysorbate 80 (VTM),20141012
1015035,glycerol + quinine sulfate (VTM),20170916
1052504,glycerol + salicylic acid + trichloroacetic acid (VTM),20190203
989773,glycerol + sodium bicarbonate (VTM),20160703
896936,glycerol + sodium borate (VTM),20150218
952114,glycerol + sodium chloride (VTM),20150614
880566,glycerol + sorbitol (VTM),20150105
880495,glycerol + sorbitol + syrup (VTM),20150105
899458,glycerol monostearate (VTM),20150218
1027875,glyceryl trinitrate (VTM),20180504
529602,glycine (VTM),20130914
711226,glycolic acid (VTM),20140118
971857,glycolic acid + tretinoin + triamcinolone acetonide (VTM),20160117
672749,glycopyrronium (VTM),20131215
968347,glycopyrronium + indacaterol (VTM),20160104
1199303,glycopyrronium bromide (VTM),20210813
950456,glycyrrhiza (VTM),20150614
1303242,glycyrrhiza + potassium guaiacolsulfonate + sodium citrate dihydrate (VTM),20240802
779221,golimumab (VTM),20140420
221556,goserelin (VTM),20130627
504391,gramicidin + neomycin + nystatin + triamcinolone acetonide (VTM),20130830
1317368,gramicidin + neomycin + polymyxin B (VTM),20241215
718070,gramicidin + neomycin + polymyxin b sulfate (VTM),20140118
700245,gramicidin + neomycin sulfate + polymyxin b sulfate (VTM),20140118
685353,granisetron (VTM),20140104
762181,green pit viper antivenin (VTM),20140407
776729,green pit viper antivenin + malayan pit viper antivenin + russell's viper antivenin (VTM),20140420
247929,griseofulvin (VTM),20130805
616132,guaifenesin (VTM),20131005
967496,guaifenesin + phenylephrine hydrochloride (VTM),20160104
371381,guaifenesin + pseudoephedrine hydrochloride (VTM),20130805
456879,guaifenesin + pseudoephedrine hydrochloride + theophylline (VTM),20130805
400850,guaifenesin + pseudoephedrine hydrochloride + triprolidine hydrochloride (VTM),20130805
697905,guaifenesin + salbutamol (VTM),20140118
859563,guaifenesin + terbutaline sulfate (VTM),20141019
929553,guaifenesin + theophylline (VTM),20150418
1114437,guselkumab (VTM),20190531
699911,haemodialysate (VTM),20140118
699850,haemodialysate + lauromacrogol 400 (VTM),20140118
792210,haemophilus influenzae type b vaccine (VTM),20140519
672555,haemophilus influenzae type b vaccine + tetanus toxoid (VTM),20131215
331145,haloperidol (VTM),20130805
834175,hamamelis water (VTM),20140803
690528,heparin sodium (VTM),20140104
672211,hepatitis A virus vaccine (VTM),20131215
673652,hepatitis A virus vaccine + hepatitis B virus vaccine (VTM),20131215
1023399,"hepatitis A virus vaccine, live attenuated (VTM)",20180203
975810,hepatitis B surface antigen immunoglobulin (VTM),20160305
975823,hepatitis B virus vaccine (VTM),20160305
939382,hexachlorophene + resorcinol + salicylic acid + zinc oxide (VTM),20150503
936565,hexachlorophene + salicylic acid (VTM),20150503
718559,hexylresorcinol (VTM),20140118
1289794,highly purified human menopausal gonadotropin (VTM),20231228
1296696,histamine (VTM),20240412
867095,histidine (VTM),20141123
764772,histidine + isoleucine + leucine + lysine hydrochloride + methionine + phenylalanine + threonine + tryptophan + valine (VTM),20170903
841428,histrelin acetate (VTM),20140817
1304528,human anti-d immunoglobulin (VTM),20240817
1003831,human coagulation factor VIII (VTM),20170218
724699,human fibrinogen (VTM),20140118
724634,human fibrinogen + thrombin (VTM),20140118
1025096,human glucagon (VTM),20180302
1200483,human hepatitis B immunoglobulin (VTM),20210813
1003952,human immunoglobulin G (VTM),20170218
681215,human menopausal gonadotropin (VTM),20140720
721503,human normal immunoglobulin (VTM),20140118
842890,human normal immunoglobulin + human serum albumin + immunoglobulin A + immunoglobulin M (VTM),20140901
844219,human normal immunoglobulin + immunoglobulin A + immunoglobulin M (VTM),20140901
672125,"human rotavirus, live attenuated (VTM)",20131215
741114,human serum albumin (VTM),20140304
1317933,"human-bovine rotavirus type G1 (live, attenuated) + human-bovine rotavirus type G2 (live, attenuated) + human-bovine rotavirus type G3 (live, attenuated) + human-bovine rotavirus type G4 (live, attenuated) + human-bovine rotavirus type G9 (live, attenuated) (VTM)",20241215
670303,hyaluronate sodium (VTM),20131130
784238,hyaluronate sodium + sodium chondroitin sulfate (VTM),20140504
721311,hyaluronic acid (VTM),20140118
799915,hyaluronic acid + lidocaine (VTM),20140519
1027253,hyaluronic acid + lidocaine hydrochloride (VTM),20180412
733394,hydralazine hydrochloride (VTM),20140202
345720,hydralazine hydrochloride + hydrochlorothiazide + reserpine (VTM),20130805
297835,hydrochlorothiazide (VTM),20130805
221587,hydrochlorothiazide + irbesartan (VTM),20130627
221594,hydrochlorothiazide + losartan potassium (VTM),20130627
221600,hydrochlorothiazide + olmesartan medoxomil (VTM),20130627
221616,hydrochlorothiazide + quinapril (VTM),20130627
221628,hydrochlorothiazide + ramipril (VTM),20130627
370636,hydrochlorothiazide + reserpine (VTM),20130805
221637,hydrochlorothiazide + telmisartan (VTM),20130627
736281,hydrochlorothiazide + triamterene (VTM),20140214
221644,hydrochlorothiazide + valsartan (VTM),20130627
295980,hydrocortisone (VTM),20130805
992857,hydrocortisone + miconazole nitrate (VTM),20161016
505154,hydrocortisone + neomycin sulfate (VTM),20130830
701233,hydrocortisone acetate (VTM),20140118
793195,hydrocortisone acetate + mepyramine maleate (VTM),20140519
992202,hydrocortisone acetate + urea (VTM),20160731
791918,hydrofluoric acid + sodium fluoride (VTM),20140519
731531,hydrogen peroxide (VTM),20140202
895237,hydrogen peroxide + sodium chloride (VTM),20150202
505257,hydroquinone (VTM),20130830
987228,hydroquinone + tretinoin (VTM),20160605
972854,hydroquinone + tretinoin + triamcinolone acetonide (VTM),20160128
1039943,hydroquinone + triamcinolone acetate (VTM),20180926
892411,hydroquinone + triamcinolone acetonide (VTM),20150202
1121934,hydrosulfite (VTM),20190803
1136313,hydroxocobalamin (VTM),20200130
1273325,hydroxocobalamine (VTM),20230701
221659,hydroxycarbamide (VTM),20130627
343506,hydroxychloroquine sulfate (VTM),20130805
730634,hydroxyethyl starch (VTM),20140202
1010839,hydroxyethyl starch + magnesium chloride hexahydrate + potassium chloride + sodium acetate trihydrate + sodium chloride (VTM),20170629
863465,hydroxyethyl starch + sodium chloride (VTM),20141123
994328,hydroxyprogesterone (VTM),20160917
1013787,hydroxyprogesterone caproate (VTM),20170916
733466,hydroxyzine hydrochloride (VTM),20140202
643967,hyoscine butylbromide (VTM),20141013
238266,hyoscine butylbromide + paracetamol (VTM),20141013
689335,hypromellose (VTM),20141013
1049941,hypromellose + phenylephrine hydrochloride (VTM),20190103
976516,hypromellose + sodium fluoride (VTM),20160307
1049960,hypromellose + tropicamide (VTM),20190103
221663,ibandronic acid (VTM),20130627
1022412,ibrutinib (VTM),20171228
221671,ibuprofen (VTM),20130627
697174,ibuprofen + orphenadrine citrate (VTM),20140118
221685,ibuprofen + paracetamol (VTM),20130627
1219967,icatibant (VTM),20211230
