TMTID(GPP),FSN,CHANGEDATE
1085892,"afatinib 20 mg film-coated tablet, 28 tablet (4 x 7 tablet blister), 1 box (GPP)",20190216
1085871,"afatinib 20 mg film-coated tablet, 7 tablet, 1 blister (GPP)",20190216
1085939,"afatinib 30 mg film-coated tablet, 28 tablet (4 x 7 tablet blister), 1 box (GPP)",20190216
1085918,"afatinib 30 mg film-coated tablet, 7 tablet, 1 blister (GPP)",20190216
1085973,"afatinib 40 mg film-coated tablet, 28 tablet (4 x 7 tablet blister), 1 box (GPP)",20190216
1085956,"afatinib 40 mg film-coated tablet, 7 tablet, 1 blister (GPP)",20190216
1099760,"aflibercept 100 mg/4 mL concentrate for solution for infusion, 4 mL vial, 1 box (GPP)",20190216
1314507,"aflibercept 114.3 mg/1 mL solution for injection, 0.263 mL vial (GPP)",20241117
1314524,"aflibercept 114.3 mg/1 mL solution for injection, 1 vial, 1 box (GPP)",20241117
1321894,"aflibercept 2.8 mg/0.07 mL solution for injection, 0.07 mL prefilled syr (GPP)",20250201
1303482,"agalsidase alfa 3.5 mg/3.5 mL concentrate for solution for infusion, 1 x 3.5 mL vial, 1 box (GPP)",20240802
1303469,"agalsidase alfa 3.5 mg/3.5 mL concentrate for solution for infusion, 3.5 mL vial (GPP)",20240802
1073618,"agomelatine 25 mg film-coated tablet, 14 tablet, 1 blister (GPP)",20190216
1073639,"agomelatine 25 mg film-coated tablet, 28 tablet (2 x 14 tablet blister), 1 box (GPP)",20190216
1169223,"albendazole 100 mg/5 mL oral suspension, 1 x 20 mL bottle, 1 box (GPP)",20201202
1169206,"albendazole 100 mg/5 mL oral suspension, 20 mL bottle (GPP)",20201202
1090577,"albendazole 200 mg film-coated tablet, 100 tablet (50 x 2 tablet blister), 1 box (GPP)",20190216
1076863,"albendazole 200 mg film-coated tablet, 100 tablet (50 x 2 tablet strip), 1 box (GPP)",20190216
1139579,"albendazole 200 mg film-coated tablet, 100 tablet, 1 bottle (GPP)",20200314
1163618,"albendazole 200 mg film-coated tablet, 2 tablet (1 x 2 tablet blister), 1 box (GPP)",20201016
1076885,"albendazole 200 mg film-coated tablet, 2 tablet (1 x 2 tablet strip), 1 box (GPP)",20190216
1090554,"albendazole 200 mg film-coated tablet, 2 tablet, 1 blister (GPP)",20190216
1076844,"albendazole 200 mg film-coated tablet, 2 tablet, 1 strip (GPP)",20190216
1228016,"albendazole 200 mg tablet, 2 tablet (1 x 2 tablet bottle), 1 box (GPP)",20220330
1227993,"albendazole 200 mg tablet, 2 tablet, 1 bottle (GPP)",20220330
1227972,"albendazole 200 mg tablet, 500 tablet, 1 jar (GPP)",20220330
1185260,"albendazole 200 mg/5 mL oral suspension, 1 x 10 mL bottle, 1 box (GPP)",20210331
1185241,"albendazole 200 mg/5 mL oral suspension, 10 mL bottle (GPP)",20210331
1236078,"alcaftadine 250 mg/100 mL eye drops, solution, 1 x 3 mL bottle, 1 box (GPP)",20220514
1236050,"alcaftadine 250 mg/100 mL eye drops, solution, 3 mL bottle (GPP)",20220514
1185343,"alcohol 0.45 mL/15 mL + amyl acetate 37 mg/15 mL + castor oil 14.507 mL/15 mL + saccharin 6 mg/15 mL oral solution, 30 mL bottle (GPP)",20210331
1185362,"alcohol 0.45 mL/15 mL + amyl acetate 37 mg/15 mL + castor oil 14.507 mL/15 mL + saccharin 6 mg/15 mL oral solution, 450 mL bottle (GPP)",20210331
1135490,"alcohol 0.45 mL/15 mL + amyl acetate 37 mg/15 mL + castor oil 14.507 mL/15 mL + saccharin 6 mg/15 mL oral solution, 60 mL bottle (GPP)",20210331
1047802,"alemtuzumab 12 mg/1.2 mL concentrate for solution for infusion, 1.2 mL vial, 1 box (GPP)",20181217
1086791,"alendronic acid 10 mg tablet, 10 tablet, 1 blister (GPP)",20190216
1086817,"alendronic acid 10 mg tablet, 30 tablet (3 x 10 tablet blister), 1 box (GPP)",20190216
1086893,"alendronic acid 70 mg + colecalciferol 2800 iu tablet, 4 tablet (1 x 4 tablet blister), 1 box (GPP)",20190216
1086872,"alendronic acid 70 mg + colecalciferol 2800 iu tablet, 4 tablet, 1 blister (GPP)",20190216
1070966,"alendronic acid 70 mg + colecalciferol 5600 iu tablet, 1 blister 1 box (GPP)",20250301
1070945,"alendronic acid 70 mg + colecalciferol 5600 iu tablet, 4 tablet blister (GPP)",20250301
1257277,"alendronic acid 70 mg effervescent tablet, 2 tablet, 1 strip (GPP)",20230316
1257296,"alendronic acid 70 mg effervescent tablet, 4 tablet (2 x 2 tablet strip), 1 box (GPP)",20230316
1086855,"alendronic acid 70 mg film-coated tablet, 4 tablet (1 x 4 tablet blister), 1 box (GPP)",20190216
1086838,"alendronic acid 70 mg film-coated tablet, 4 tablet, 1 blister (GPP)",20190216
1107384,"alendronic acid 70 mg tablet, 4 tablet (1 x 4 tablet blister), 1 box (GPP)",20190411
1107366,"alendronic acid 70 mg tablet, 4 tablet, 1 blister (GPP)",20190411
1055368,"alfacalcidol 0.25 mcg capsule, soft, 10 capsule, 1 blister (GPP)",20190216
1107418,"alfacalcidol 0.25 mcg capsule, soft, 100 capsule (10 x 10 capsule blister), 1 box (GPP)",20190411
1055381,"alfacalcidol 0.25 mcg capsule, soft, 50 capsule (5 x 10 capsule blister), 1 box (GPP)",20190216
1107439,"alfacalcidol 0.5 mcg capsule, soft, 10 capsule, 1 blister (GPP)",20190411
1127504,"alfacalcidol 0.5 mcg capsule, soft, 100 capsule (10 x 10 capsule blister), 1 box (GPP)",20191004
1107456,"alfacalcidol 0.5 mcg capsule, soft, 50 capsule (5 x 10 capsule blister), 1 box (GPP)",20190411
1056529,"alfacalcidol 0.5 mcg tablet, 10 tablet, 1 blister (GPP)",20190216
1056540,"alfacalcidol 0.5 mcg tablet, 100 tablet (10 x 10 tablet blister), 1 box (GPP)",20190216
1062718,"alfacalcidol 1 mcg capsule, soft, 10 capsule, 1 blister (GPP)",20190216
1062739,"alfacalcidol 1 mcg capsule, soft, 100 capsule (10 x 10 capsule blister), 1 box (GPP)",20190216
1185874,"alfuzosin hydrochloride 10 mg prolonged-release tablet, 10 tablet, 1 blister (GPP)",20210418
1066264,"alfuzosin hydrochloride 10 mg prolonged-release tablet, 30 tablet (1 x 30 tablet blister), 1 box (GPP)",20190216
1185890,"alfuzosin hydrochloride 10 mg prolonged-release tablet, 30 tablet (3 x 10 tablet blister), 1 box (GPP)",20210418
1066240,"alfuzosin hydrochloride 10 mg prolonged-release tablet, 30 tablet, 1 blister (GPP)",20190216
1055323,"alginic acid 200 mg + dried aluminium hydroxide gel 30 mg + magnesium carbonate 40 mg chewable tablet, 12 tablet, 1 blister (GPP)",20210430
1055347,"alginic acid 200 mg + dried aluminium hydroxide gel 30 mg + magnesium carbonate 40 mg chewable tablet, 84 tablet (7 x 12 tablet blister), 1 box (GPP)",20210429
1110197,"alglucosidase alfa 50 mg powder for concentrate for solution for infusion, 1 vial (1 x 1 vial), 1 box (GPP)",20240216
1292009,"alglucosidase alfa 50 mg powder for concentrate for solution for infusion, 1 vial (GPP)",20240216
1226628,"alirocumab 150 mg/1 mL solution for injection, 1 mL prefilled pen (GPP)",20220316
1226644,"alirocumab 150 mg/1 mL solution for injection, 1 x 1 mL prefilled pen, 1 box (GPP)",20220316
1226663,"alirocumab 75 mg/1 mL solution for injection, 1 mL prefilled pen (GPP)",20220316
1226685,"alirocumab 75 mg/1 mL solution for injection, 1 x 1 mL prefilled pen, 1 box (GPP)",20220316
1081896,"aliskiren 300 mg film-coated tablet, 28 tablet (4 x 7 tablet blister), 1 box (GPP)",20190216
1081877,"aliskiren 300 mg film-coated tablet, 7 tablet, 1 blister (GPP)",20190216
1265673,"allopurinol 10 mg/1 mL oral suspension, 30 mL bottle (GPP)",20230617
1070691,"allopurinol 100 mg tablet, 10 tablet, 1 blister (GPP)",20190216
1086704,"allopurinol 100 mg tablet, 100 tablet (4 x 25 tablet blister), 1 box (GPP)",20190216
1086665,"allopurinol 100 mg tablet, 1000 tablet (100 x 10 tablet blister), 1 box (GPP)",20190216
1086683,"allopurinol 100 mg tablet, 25 tablet, 1 blister (GPP)",20190216
1070712,"allopurinol 100 mg tablet, 50 blister, 1 box (GPP)",20250313
1258742,"allopurinol 100 mg tablet, 500 tablet, 1 jar (GPP)",20230401
1070731,"allopurinol 300 mg tablet, 10 tablet, 1 blister (GPP)",20190216
1086736,"allopurinol 300 mg tablet, 100 tablet (10 x 10 tablet blister), 1 box (GPP)",20190216
1070754,"allopurinol 300 mg tablet, 500 tablet (50 x 10 tablet blister), 1 box (GPP)",20190216
1324282,"alogliptin 25 mg + pioglitazone 15 mg film-coated tablet, 14 tablet, 1 blister (GPP)",20250215
1324305,"alogliptin 25 mg + pioglitazone 15 mg film-coated tablet, 2 blister, 1 box (GPP)",20250215
1062891,"alogliptin 25 mg + pioglitazone 15 mg film-coated tablet, 28 tablet (4 x 7 tablet blister), 1 box (GPP)",20190216
