TMTID(GP),FSN,CHANGEDATE
750218,albumin 30 mg/100 mL + phenol 400 mg/100 mL solution for injection (GP),20140324
864403,"alcaftadine 250 mg/100 mL eye drops, solution (GP)",20141123
1135457,alcohol 0.45 mL/15 mL + amyl acetate 37 mg/15 mL + castor oil 14.507 mL/15 mL + saccharin 6 mg/15 mL oral solution (GP),20200119
843931,alcohol 460 mcL/5 mL + camphor 10 mg/5 mL + capsicum tincture 20 mcL/5 mL + compound cardamom tincture 45 mcL/5 mL + strong ginger tincture 25 mcL/5 mL oral solution (GP),20140901
902331,alcohol 50 mL/100 mL solution for injection (GP),20150228
934762,alcohol 500 mcL/100 mL + peppermint spirit 125 mcL/100 mL + sodium nitrate 500 mg/100 mL gargle/mouthwash (GP),20150503
879228,alcohol 70 mL/100 mL cutaneous solution (GP),20150105
934715,alcohol 92.5 mL/100 mL + iodine 2.5 g/100 mL + potassium iodide 2.5 g/100 mL cutaneous solution (GP),20150503
1016311,"alectinib 150 mg capsule, hard (GP)",20170929
1043683,alemtuzumab 12 mg/1.2 mL concentrate for solution for infusion (GP),20181129
210235,alendronic acid 10 mg tablet (GP),20130627
740839,alendronic acid 150 mg film-coated tablet (GP),20140304
210274,alendronic acid 5 mg + calcitriol 0.5 mcg gastro-resistant tablet (GP),20141102
210242,alendronic acid 5 mg tablet (GP),20130627
851914,alendronic acid 70 mg + colecalciferol 2800 iu tablet (GP),20141004
210288,alendronic acid 70 mg + colecalciferol 5600 iu tablet (GP),20130627
210290,alendronic acid 70 mg + colecalciferol 70 mcg tablet (GP),20130627
1257231,alendronic acid 70 mg effervescent tablet (GP),20230316
210257,alendronic acid 70 mg film-coated tablet (GP),20130627
210261,alendronic acid 70 mg tablet (GP),20130627
235908,"alfacalcidol 0.25 mcg capsule, soft (GP)",20130805
265888,alfacalcidol 0.25 mcg tablet (GP),20130805
235954,"alfacalcidol 0.5 mcg capsule, soft (GP)",20130805
265944,alfacalcidol 0.5 mcg tablet (GP),20130805
236003,"alfacalcidol 1 mcg capsule, soft (GP)",20130805
266005,alfacalcidol 1 mcg tablet (GP),20130805
487245,alfacalcidol 200 mcg/100 mL oral solution (GP),20130830
652033,alfuzosin hydrochloride 10 mg prolonged-release tablet (GP),20131005
210300,alginic acid 200 mg + dried aluminium hydroxide gel 30 mg + magnesium carbonate 40 mg chewable tablet (GP),20210429
719356,alglucosidase alfa 50 mg powder for concentrate for solution for infusion (GP),20161203
1026078,alirocumab 150 mg/1 mL solution for injection (GP),20180315
1026021,alirocumab 75 mg/1 mL solution for injection (GP),20180315
210337,aliskiren 150 mg + amlodipine 10 mg film-coated tablet (GP),20130627
210344,aliskiren 150 mg + amlodipine 5 mg film-coated tablet (GP),20130627
210371,aliskiren 150 mg + hydrochlorothiazide 12.5 mg film-coated tablet (GP),20130627
210385,aliskiren 150 mg + hydrochlorothiazide 25 mg film-coated tablet (GP),20130627
210316,aliskiren 150 mg film-coated tablet (GP),20130627
210359,aliskiren 300 mg + amlodipine 10 mg film-coated tablet (GP),20130627
210363,aliskiren 300 mg + amlodipine 5 mg film-coated tablet (GP),20130627
210392,aliskiren 300 mg + hydrochlorothiazide 12.5 mg film-coated tablet (GP),20130627
210407,aliskiren 300 mg + hydrochlorothiazide 25 mg film-coated tablet (GP),20130627
210328,aliskiren 300 mg film-coated tablet (GP),20130627
794969,alkyl ether sulfate 263.1 mg + makon OP-9 3.57 mg + phospholipid-PTC 1.78 mg + syloid 244 19.44 mg irrigation solution (GP),20140519
934840,allergen extract bermuda 1000 unit/1 mL solution for injection (GP),20150503
874952,allergen extract bermuda 10000 BAU/1 mL solution for injection (GP),20141214
