TMTID(SUBS),FSN,CHANGEDATE
223377,barnidipine hydrochloride (SUBS),20130627
223383,basiliximab (SUBS),20130627
223396,BCG vaccine (SUBS),20130627
994804,BDDE-crosslinked sodium hyaluronate (SUBS),20161106
780603,beclometasone (SUBS),20140420
719696,beclometasone dipropionate (SUBS),20141012
1136559,bedaquiline (SUBS),20200213
934649,bees wax (SUBS),20150503
886563,belimumab (SUBS),20150202
782575,belladonna (SUBS),20140504
533597,belladonna dry extract (SUBS),20130914
871226,belladonna extract (SUBS),20141129
1121311,bemiparin sodium (SUBS),20210129
1305850,bempedoic acid (SUBS),20240831
732189,benazepril (SUBS),20140202
730827,benazepril hydrochloride (SUBS),20140202
957038,bendamustine hydrochloride (SUBS),20150909
1053595,benfotiamine (SUBS),20190216
1124681,benralizumab (SUBS),20190913
273731,benserazide (SUBS),20130805
949487,bentonite (SUBS),20150614
709334,bentonite magma suspension (SUBS),20140118
335039,benzalkonium chloride (SUBS),20130805
660790,benzathine benzylpenicillin (SUBS),20131102
823316,benzatropine (SUBS),20150801
803793,benzatropine mesilate (SUBS),20140602
234966,benzbromarone (SUBS),20130805
351261,benzethonium chloride (SUBS),20130805
269192,benzocaine (SUBS),20130805
705612,benzoic acid (SUBS),20140118
842679,benzoin (SUBS),20140901
788682,benzoin tincture (SUBS),20140504
643745,benzoyl peroxide (SUBS),20131005
645012,benzydamine hydrochloride (SUBS),20170329
569485,benzyl alcohol (SUBS),20131005
702870,benzyl benzoate (SUBS),20140118
666852,benzylpenicillin (SUBS),20131130
579248,benzylpenicillin procaine (SUBS),20241005
579224,benzylpenicillin sodium (SUBS),20241005
790360,beractant (SUBS),20170329
223401,beraprost sodium (SUBS),20130627
930192,bergamot oil (SUBS),20150418
1040288,beroctocog alfa (SUBS),20181010
652773,besifloxacin (SUBS),20131005
962160,betahistine dihydrochloride (SUBS),20151102
912901,betahistine hydrochloride (SUBS),20150314
962461,betahistine mesilate (SUBS),20151115
487751,betamethasone (SUBS),20130830
491864,betamethasone dipropionate (SUBS),20130830
978057,betamethasone maleate (SUBS),20160321
742852,betamethasone sodium phosphate (SUBS),20150801
671696,betamethasone valerate (SUBS),20131215
1150153,betamethasone varelate (SUBS),20200705
855513,beta-sitosterol (SUBS),20141019
354232,betaxolol (SUBS),20130805
1002620,betaxolol hydrochloride (SUBS),20170204
684192,bethanechol chloride (SUBS),20150801
541702,bevacizumab (SUBS),20131005
223417,bezafibrate (SUBS),20130627
719817,biapenem (SUBS),20140118
223429,bicalutamide (SUBS),20130627
1159067,bictegravir (SUBS),20200904
647000,bifidobacterium biphidum (SUBS),20131005
1005202,bifonazole (SUBS),20170316
954759,bilastine (SUBS),20150805
525842,bimatoprost (SUBS),20130914
1106181,bioflavonoids (SUBS),20190411
263353,biotin (SUBS),20130805
259803,bisacodyl (SUBS),20130805
929361,bismuth carbonate (SUBS),20150404
490613,bismuth oxide (SUBS),20130830
490632,bismuth subgallate (SUBS),20130830
223438,bismuth subnitrate (SUBS),20130627
223440,bismuth subsalicylate (SUBS),20130627
991561,bisoprolol fumarate (SUBS),20160731
223455,bleomycin hydrochloride (SUBS),20200815
981008,bleomycin sulfate (SUBS),20160417
1118378,blinatumomab (SUBS),20190628
798000,blood group antibody D (SUBS),20150801
694168,boceprevir (SUBS),20140118
504256,borax (SUBS),20130830
530326,boric acid (SUBS),20130914
809293,borneol (SUBS),20140602
338379,boron (SUBS),20130805
223464,bortezomib (SUBS),20130627
461437,bosentan (SUBS),20130805
729627,botulinum antitoxin type A (SUBS),20140118
729643,botulinum antitoxin type B (SUBS),20140118
729662,botulinum antitoxin type E (SUBS),20140118
719903,botulinum toxin type A (SUBS),20140118
1294300,brachiaria mutica allergen extract (SUBS),20240328
1010096,brentuximab vedotin (SUBS),20170616
1320481,bretovameran (SUBS),20250118
1155626,brexpiprazole (SUBS),20200801
1141510,brigatinib (SUBS),20200404
773375,brilliant green (SUBS),20140407
526718,brimonidine (SUBS),20130914
1002244,brimonidine tartrate (SUBS),20170114
522762,brinzolamide (SUBS),20130914
1106008,brodalumab (SUBS),20190411
1190082,brolucizumab (SUBS),20210513
533363,bromazepam (SUBS),20130914
813594,bromfenac sodium hydrate (SUBS),20140616
251151,bromhexine (SUBS),20160117
748040,bromhexine hydrochloride (SUBS),20140324
906125,bromocriptine (SUBS),20150228
228228,brompheniramine (SUBS),20160117
811537,brompheniramine maleate (SUBS),20140616
269694,budesonide (SUBS),20130805
832237,bufexamac (SUBS),20140803
519623,bupivacaine hydrochloride (SUBS),20190331
1237063,buprenorphine (SUBS),20220602
649127,bupropion hydrochloride (SUBS),20190103
1245940,burosumab (SUBS),20221104
707748,burow's solution (SUBS),20140118
223472,buserelin acetate (SUBS),20130627
223486,busulfan (SUBS),20150801
718833,butamirate (SUBS),20140118
542660,cabazitaxel (SUBS),20131005
1293345,cabergoline (SUBS),20240313
1197371,cabozantinib (SUBS),20210813
825493,cadexomer iodine (SUBS),20140721
255279,caffeine (SUBS),20130805
872440,cajuput oil (SUBS),20141214
490716,calamine (SUBS),20130830
757200,calciferol (SUBS),20140407
491683,calcipotriol (SUBS),20130830
223493,calcitonin (SUBS),20130627
223504,calcitriol (SUBS),20130627
223515,calcium (SUBS),20130627
746601,calcium acetate (SUBS),20140324
787404,calcium ascorbate (SUBS),20140504
223527,calcium carbonate (SUBS),20130627
558118,calcium chloride (SUBS),20131005
763570,calcium chloride dihydrate (SUBS),20140407
223536,calcium citrate (SUBS),20130627
1052543,calcium d-pantothenate (SUBS),20190215
883466,calcium edetic acid (SUBS),20150119
684429,calcium folinate (SUBS),20160128
223543,calcium gluconate (SUBS),20130627
860614,calcium glycerophosphate (SUBS),20141102
949912,calcium hypochlorite (SUBS),20150614
738298,calcium lactate (SUBS),20140214
678914,calcium lactate gluconate (SUBS),20140104
552626,calcium levulinate (SUBS),20140914
223558,calcium pantothenate (SUBS),20130627
757237,calcium phosphate (SUBS),20140407
673131,calcium polystyrene sulfonate (SUBS),20131215
695549,calcium sennosides (SUBS),20140118
1177708,calendula extract (SUBS),20210211
1263149,calfactant (SUBS),20230522
809319,camphene (SUBS),20140602
490737,camphor (SUBS),20130830
812121,camphor spirit (SUBS),20140616
531445,camphorated opium tincture (SUBS),20130914
709979,camphorated parachlorophenol solution (SUBS),20140118
710047,camphorated phenol solution (SUBS),20140118
939714,canagliflozin (SUBS),20150515
720188,canakinumab (SUBS),20140118
223562,candesartan cilexetil (SUBS),20130627
1129517,cannabidiol-cannabis extract (SUBS),20191102
223570,capecitabine (SUBS),20130627
1234801,capmatinib (SUBS),20220514
689498,capnep herb (SUBS),20140104
717182,capreomycin (SUBS),20140118
933518,capric acid (SUBS),20150502
933539,caprylic acid (SUBS),20150502
714503,capsaicin (SUBS),20140118
784943,capsicum (SUBS),20140504
759131,capsicum oleoresin (SUBS),20140407
742322,capsicum tincture (SUBS),20140304
223589,captopril (SUBS),20130627
1118769,captropril (SUBS),20190628
955391,caraway oil (SUBS),20150805
777333,carbachol (SUBS),20140420
246853,carbamazepine (SUBS),20130805
1141244,carbaril (SUBS),20200404
820645,carbetapentane (SUBS),20140705
806038,carbetocin (SUBS),20140602
272725,carbidopa (SUBS),20130805
869718,carbocisteine (SUBS),20141129
963964,carbocisteine lysine (SUBS),20151206
677243,carbohydrates (SUBS),20140104
510066,carbolic acid (SUBS),20130830
662897,carbomer (SUBS),20131102
223591,carboplatin (SUBS),20130627
982283,carbopol (SUBS),20160418
691379,carboxymethylcellulose (SUBS),20140104
814432,carboxymethylcellulose sodium (SUBS),20140616
955410,cardamom oil (SUBS),20150805
847396,cardamom tincture (SUBS),20140914
974721,carfilzomib (SUBS),20160214
1222996,carglumic acid (SUBS),20220217
1137106,cariprazine (SUBS),20200213
969916,carmellose (SUBS),20160104
918916,carmellose sodium (SUBS),20150404
223602,carmustine (SUBS),20130627
975044,carnitine (SUBS),20160214
710113,carnoy's solution (SUBS),20141007
788010,carotenoid (SUBS),20140504
780309,carteolol (SUBS),20180302
793508,carteolol hydrochloride (SUBS),20140519
272226,carvedilol (SUBS),20130805
784962,cascara extract (SUBS),20140504
1211660,casirivimab (SUBS),20211202
655552,caspofungin (SUBS),20131102
762446,castor oil (SUBS),20140407
1296568,cat (felis catus) hair allergen extract (SUBS),20240412
756233,catnep (SUBS),20140407
274757,cefaclor (SUBS),20130805
661424,cefalexin (SUBS),20131102
845676,cefamandole (SUBS),20180302
1144776,cefazidime (SUBS),20200517
542953,cefazolin (SUBS),20131005
916451,cefazolin sodium (SUBS),20150316
398232,cefdinir (SUBS),20130805
659190,cefditoren (SUBS),20131102
1101246,cefditoren pivoxil (SUBS),20190314
544127,cefepime (SUBS),20131005
