TMTID(GPU),FSN,CHANGEDATE
485773,"aciclovir 5 g/100 g cream, 10 g tube (GPU)",20181115
874307,"aciclovir 5 g/100 g cream, 100 g tube (GPU)",20181115
874221,"aciclovir 5 g/100 g cream, 15 g tube (GPU)",20181115
874104,"aciclovir 5 g/100 g cream, 2 g sachet (GPU)",20181115
485634,"aciclovir 5 g/100 g cream, 2 g tube (GPU)",20181115
874127,"aciclovir 5 g/100 g cream, 2.5 g sachet (GPU)",20181115
874245,"aciclovir 5 g/100 g cream, 20 g tube (GPU)",20181115
874143,"aciclovir 5 g/100 g cream, 3 g sachet (GPU)",20181115
874189,"aciclovir 5 g/100 g cream, 3 g tube (GPU)",20181115
485972,"aciclovir 5 g/100 g cream, 3.5 g tube (GPU)",20181115
874266,"aciclovir 5 g/100 g cream, 30 g tube (GPU)",20181115
874324,"aciclovir 5 g/100 g cream, 450 g jar (GPU)",20200801
874162,"aciclovir 5 g/100 g cream, 5 g sachet (GPU)",20181115
874209,"aciclovir 5 g/100 g cream, 5 g tube (GPU)",20181115
874284,"aciclovir 5 g/100 g cream, 50 g tube (GPU)",20181115
874348,"aciclovir 5 g/100 g cream, 500 g jar (GPU)",20200801
536617,"aciclovir 50 mg/100 mL solution for injection, 100 mL vial (GPU)",20131005
520268,"aciclovir 500 mg powder for solution for infusion, 1 vial (GPU)",20130914
1317685,"aciclovir 500 mg powder for solution for injection/infusion, 1 vial (GPU)",20241215
536561,"aciclovir 500 mg/20 mL concentrate for solution for infusion, 20 mL vial (GPU)",20160417
230963,"aciclovir 800 mg tablet, 1 tablet (GPU)",20130805
199867,"acipimox 250 mg capsule, hard, 1 capsule (GPU)",20150703
1271182,"acitretin 1 mg/1 mL oral suspension, 20 mL bottle (GPU)",20230617
388008,"acitretin 10 mg capsule, hard, 1 capsule (GPU)",20130805
388077,"acitretin 25 mg capsule, hard, 1 capsule (GPU)",20130805
1304949,"acotiamide hydrochloride hydrate 100 mg film-coated tablet, 1 tablet (GPU)",20240817
890574,"acriflavinium chloride 100 mg/100 mL + brilliant green 250 mg/100 mL + gentian violet 250 mg/100 mL cutaneous solution, 60 mL bottle (GPU)",20150202
953471,"acriflavinium chloride 100 mg/100 mL cutaneous solution, 15 mL bottle (GPU)",20150716
953503,"acriflavinium chloride 100 mg/100 mL cutaneous solution, 30 mL bottle (GPU)",20150716
953526,"acriflavinium chloride 100 mg/100 mL cutaneous solution, 450 mL bottle (GPU)",20150716
775238,"acriflavinium chloride 110 mg/100 mL + brilliant green 220 mg/100 mL + gentian violet 220 mg/100 mL cutaneous solution, 30 mL bottle (GPU)",20161017
936078,"acriflavinium chloride 110 mg/100 mL + brilliant green 230 mg/100 mL + gentian violet 230 mg/100 mL cutaneous solution, 10 mL bottle (GPU)",20151004
960479,"acriflavinium chloride 114 mg/100 mL + brilliant green 229 mg/100 mL + gentian violet 229 mg/100 mL cutaneous solution, 60 mL bottle (GPU)",20150922
970699,"acriflavinium chloride 200 mg/100 mL cutaneous solution, 30 mL bottle (GPU)",20160117
742670,"activated charcoal 100 mg + belladonna dry extract 6 mg + magnesium hydroxide 100 mg + peppermint oil 3 mcL tablet, 1 tablet (GPU)",20140304
888116,"activated charcoal 100 mg + belladonna dry extract 6 mg + magnesium hydroxide 150 mg tablet, 1 tablet (GPU)",20150202
853752,"activated charcoal 100 mg powder for oral suspension, 500 g sachet (GPU)",20141004
756331,"activated charcoal 250 mg tablet, 1 tablet (GPU)",20140407
726413,"activated charcoal 260 mg capsule, hard, 1 capsule (GPU)",20140118
966705,"activated charcoal 30 g powder for oral suspension, 30 g sachet (GPU)",20151222
763464,"activated charcoal 5 g powder for oral suspension, 5 g sachet (GPU)",20200801
836219,"activated charcoal 50 g powder for oral suspension, 50 g jar (GPU)",20200801
931186,"activated charcoal 50 g powder for oral suspension, 50 g sachet (GPU)",20150418
1043552,"activated charcoal 65 mg + peppermint oil 1 mg + sodium bicarbonate 250 mg tablet, 1 tablet (GPU)",20181129
904672,"activated charcoal 65 mg + sodium bicarbonate 250 mg tablet, 1 tablet (GPU)",20150228
744688,"activated charcoal 90 mg + diastase 30 mg + extract of gentian 20 mg + ginger oleoresin 5 mg + pancreatin 20 mg + papain 60 mg + pepsin A 180 mg + thiamine 2 mg coated tablet, 1 tablet (GPU)",20140304
781754,"activated charcoal powder for oral suspension, 20 g sachet (GPU)",20140504
199879,"activated protein c, recombinant human 20 mg powder for solution for injection, 1 vial (GPU)",20130627
199880,"activated protein c, recombinant human 5 mg powder for solution for injection, 1 vial (GPU)",20130627
1169782,"adalimumab 20 mg/0.4 mL solution for injection, 0.4 mL prefilled syr (GPU)",20201217
1312762,"adalimumab 40 mg/0.4 mL solution for injection, 0.4 mL prefilled pen (GPU)",20241102
1164680,"adalimumab 40 mg/0.8 mL solution for injection, 0.8 mL prefilled pen (GPU)",20201016
1133339,"adalimumab 40 mg/0.8 mL solution for injection, 0.8 mL prefilled syr (GPU)",20191127
199898,"adalimumab 40 mg/0.8 mL solution for injection, 0.8 mL vial (GPU)",20170329
1141801,"adapalene 100 mg/100 g + benzoyl peroxide 2.5 g/100 g gel, 15 g bottle (GPU)",20200404
656991,"adapalene 100 mg/100 g + benzoyl peroxide 2.5 g/100 g gel, 15 g tube (GPU)",20131102
487143,"adapalene 100 mg/100 g cream, 30 g tube (GPU)",20130830
487189,"adapalene 100 mg/100 g gel, 15 g tube (GPU)",20130830
487213,"adapalene 100 mg/100 g gel, 30 g tube (GPU)",20130830
646512,"adefovir dipivoxil 10 mg tablet, 1 tablet (GPU)",20131005
1247018,"adenosine 6 mg/2 mL solution for injection, 2 mL ampoule (GPU)",20221104
536910,"adenosine 6 mg/2 mL solution for injection, 2 mL vial (GPU)",20131005
848825,"aescin 1 g/100 g + diethylamine salicylate 5 g/100 g gel, 10 g tube (GPU)",20140914
649245,"aescin 1 g/100 g + diethylamine salicylate 5 g/100 g gel, 20 g tube (GPU)",20131005
649278,"aescin 1 g/100 g + diethylamine salicylate 5 g/100 g gel, 40 g tube (GPU)",20131005
1256756,"aescin 20 mg film-coated tablet, 1 tablet (GPU)",20230304
425325,"aescin 20 mg gastro-resistant tablet, 1 tablet (GPU)",20170629
322774,"aescin 90 mg + epl substance 75 mg + rutin 20 mg capsule, soft, 1 capsule (GPU)",20130805
692872,"aesculin 1 g + cinchocaine 500 mg + framycetin sulfate 1 g + hydrocortisone 500 mg suppository, 1 suppository (GPU)",20160404
503527,"aesculin 10 mg + cinchocaine 5 mg + framycetin sulfate 10 mg + hydrocortisone 5 mg ointment, 15 g tube (GPU)",20130830
909988,"aesculin 10 mg + cinchocaine 5 mg + framycetin sulfate 10 mg + hydrocortisone 5 mg suppository, 1 suppository (GPU)",20160404
887390,"afatinib 20 mg film-coated tablet, 1 tablet (GPU)",20150202
887446,"afatinib 30 mg film-coated tablet, 1 tablet (GPU)",20150202
887498,"afatinib 40 mg film-coated tablet, 1 tablet (GPU)",20150202
1129457,"aflibercept 1.75 mg/0.07 mL solution for injection, 0.07 mL prefilled syr (GPU)",20191019
984037,"aflibercept 100 mg/4 mL concentrate for solution for infusion, 4 mL vial (GPU)",20160515
1314479,"aflibercept 114.3 mg/1 mL solution for injection, 0.263 mL vial (GPU)",20241117
1321860,"aflibercept 2.8 mg/0.07 mL solution for injection, 0.07 mL prefilled syr (GPU)",20250201
984085,"aflibercept 200 mg/8 mL concentrate for solution for infusion, 8 mL vial (GPU)",20160515
824642,"aflibercept 40 mg/1 mL solution for injection, 0.278 mL vial (GPU)",20200612
