SUBSID,VTMID
225891,830223
811949,851231
869718,975689
398073,398094
646225,646241
784134,918260
223866,523831
648647,1288213
230256,230273
858076,435436
687964,687986
729731,729754
520753,1163884
759131,759154
379592,522677
225891,825159
757200,830321
812340,906950
669114,975823
920167,1315066
490737,789558
646900,646928
655762,655789
776111,1140860
595593,604720
644292,644318
808028,808044
225407,774903
1293908,1293920
224614,221905
225917,799342
675493,675515
522762,522789
721485,844219
961076,961095
520688,1251367
495349,751792
501709,891331
748427,1042808
742529,783588
833808,833831
521712,521749
705855,705872
319153,680575
533597,888090
406835,1163884
531228,616132
672194,672211
804035,804057
766496,861943
579367,579380
510153,779968
742529,859439
266183,498848
665824,967465
954759,954771
962351,902233
561460,679835
942286,982212
934450,1140860
1293155,1293172
1012517,1012538
297554,913269
675493,676073
520688,674384
399773,859091
263693,678616
643001,1161188
520688,920180
765566,765584
1026819,1026890
724476,724495
520688,763061
662897,786453
742529,940823
301173,301194
265032,504273
517198,805041
223558,859439
701214,992577
652316,652337
692069,692082
860651,860764
734306,818219
224327,936273
748352,994623
920167,920180
225901,770866
224294,221525
255279,469932
744592,744661
793176,793195
719817,719838
223308,226166
1005050,1005078
1032851,1032867
742529,755129
773399,956668
689632,1018713
224740,222008
560907,1004962
1019241,1019260
748212,967386
672461,672488
868590,868617
684558,684570
236799,236832
223527,679124
705683,922268
1104289,1104329
228990,642653
880843,721158
668559,1121245
287691,287712
763570,763660
854013,854032
1140887,1140904
723070,723091
491864,742875
814506,1156558
657210,657234
814506,1221236
678277,755129
1188291,1188317
343484,343506
223354,1131336
263693,748797
378244,378263
341176,893269
317215,939382
959976,959995
807938,807972
748212,965710
524106,524134
954390,954446
560884,741608
762238,777529
291183,291203
830309,830321
854646,673940
758923,795638
738298,812034
238245,643967
742529,748375
694077,1034493
234966,234984
748064,614124
984141,984160
705007,705024
266183,341195
1121812,1121831
771619,1251367
748064,455063
1234510,1286019
265032,840573
738472,752323
1017338,1017355
734306,1155949
317215,932317
718908,718920
775728,777529
223562,220777
224959,222199
854729,854861
824350,824378
485300,899628
764755,983837
643001,871242
1326440,1326527
748212,967431
705683,705704
708370,708391
237030,733200
894270,932496
323231,1126198
968126,968142
223930,221157
520688,1118015
225469,985234
714395,714416
323231,765469
708680,975662
521712,1220988
493699,995956
225794,222991
471966,471984
650041,987285
1199511,1199548
223455,1157484
317215,501560
225891,903548
710788,771062
966025,966041
531228,965768
966025,1036745
254473,1159274
1053595,1053613
784451,784511
223365,858302
748212,605275
223768,940380
1010096,1010110
678671,759080
742322,820785
643001,643038
708447,708468
710258,710270
858076,967408
265032,941709
723313,723332
748212,964117
749740,749764
224410,221709
672604,571025
595593,606377
338615,981595
742615,742658
