id,conceptId,isFSN,term
149848010,90417000,False,cervical spinal fusion by posterior technique
833518017,90418005,True,male external genitalia structure
508991015,90418005,False,external male genitalia
149850019,90418005,False,male external genitalia
833519013,90419002,True,Raja aleutica
149853017,90419002,False,Aleutian skate
2468983015,9042000,True,cicatricial lagophthalmos
833522010,90420008,True,normal hormonal activity
149855012,90420008,False,normal hormonal action on target tissue
833524011,90422000,True,Kingella kingae
1235562011,90422000,False,Moraxella kingae
149858014,90422000,False,Moraxella kingii
833525012,90423005,True,removal of electrodes from peripheral nerve with synchronous replacement
833527016,90425003,True,Raphanus raphanistrum poisoning
149869012,90425003,False,wild radish poisoning
3488943018,90426002,True,product containing trimipramine
3716912016,90426002,False,trimipramine-containing product
833530011,90428001,True,gonococcal pericarditis
833533013,90430004,True,Comte de Paris star frontlet
833535018,90431000,True,third metatarsal structure
149876019,90431000,False,third metatarsal bone
833536017,90432007,True,structure of mucous membrane of nasopharynx
149878018,90432007,False,mucous membrane of nasopharynx
833539012,90435009,True,Veillonella parvula
149882016,90435009,False,Staphylococcus parvulus
149883014,90435009,False,Veillonella alcalescens
3296128011,90436005,True,infestation caused by Hypoderma bovis
149884015,90436005,False,infestation by Hypoderma bovis
149885019,90436005,False,ox warble
833542018,90438006,True,delivery by Malstrom's extraction
2841813018,90438006,False,delivery by Malstrom extraction
833543011,90439003,True,Ruminococcus bromii
1472709019,9044004,True,physical medicine evaluation and review for orthotic program
15929012,9044004,False,orthotic check-out
15930019,9044004,False,orthotic evaluation
509003019,9044004,False,physical medicine evaluation and review for orthotic programme
833547012,90441002,True,chronic nonsuppurative thyroiditis
833548019,90442009,True,cerclage of cervix during pregnancy by vaginal approach
833549010,90443004,True,Anchoa nasuta
149893019,90443004,False,Longnose anchovy
833551014,90445006,True,anguilla reinhardti
2153013014,90446007,True,pruritus ani
149898011,90446007,False,anal itch
833554018,90448008,True,ossification of posterior longitudinal ligament
1235563018,90448008,False,ossification of the posterior longitudinal ligament
1235564012,90448008,False,posterior longitudinal ligament calcification
833555017,90449000,True,endoscopy of retroperitoneum
833558015,9045003,True,radon radioisotope
833559011,90451001,True,neurotomy of lacrimal branch nerve
149906019,90451001,False,division of lacrimal branch nerve
833560018,90452008,True,Lathyrus incanus
149908018,90452008,False,wild pea
4555252013,90453003,True,chronic mediastinopericarditis due to rheumatic heart disease
4553721014,90453003,False,chronic rheumatic heart disease with mediastinopericarditis
149909014,90453003,False,chronic rheumatic mediastinopericarditis
4555053014,90453003,False,rheumatic heart disease with mediastinopericarditis
833562014,90454009,True,injection of anesthetic agent into greater occipital nerve
1235565013,90454009,False,greater occipital nerve block
509006010,90454009,False,injection of anaesthetic agent into greater occipital nerve
1217078010,90454009,False,local anaesthetic greater occipital nerve block
1218566015,90454009,False,local anesthetic greater occipital nerve block
833564010,90456006,True,sympathetic nerve structure
149915014,90456006,False,sympathetic nerve
833565011,90457002,True,Antidorcas marsupialis
149918011,90457002,False,springbok
833566012,90458007,True,internal hemorrhoids
1217079019,90458007,False,internal haemorrhoid
201533012,90458007,False,internal haemorrhoids
1218567012,90458007,False,internal hemorrhoid
1205274010,90459004,True,outer mesothelial cell
149922018,90459004,False,arachnoid cap cell
833569017,90460009,True,injury of neck
509010013,90460009,False,neck injury
2153014015,90463006,True,meatotomy of urethra of infant
149926015,90463006,False,meatotomy of infant
833575014,90465004,True,crushing injury of face
1235567017,90465004,False,crush injury of face
1235566014,90465004,False,"crush injury, face"
833576010,90466003,True,Agkistrodon halys blomhoffi
149930017,90466003,False,Mamushi
833577018,90467007,True,Church of the Brethren
833578011,90468002,True,plastics products fabricator
833579015,90469005,True,no organoid tissue identified
833581018,90470006,True,prostatectomy
509013010,90470006,False,prostate excision
833582013,9047006,True,excision of lesion of bone of vertebra
833583015,90471005,True,approach-approach conflict
833584014,90472003,True,repair of round ligament of uterus
2690380014,90473008,True,anesthesia for magnetic resonance imaging scan
509014016,90473008,False,anaesthesia for MRI scan
1490296015,90473008,False,anaesthesia for magnetic resonance imaging scan
149938012,90473008,False,anesthesia for MRI scan
1205275011,90475001,True,Golgi membrane
833588012,90476000,True,creation of subclavian-vertebral artery shunt
833593010,90480005,True,interrupted breathing
149949018,90480005,False,cog-wheel breathing
149948014,90480005,False,interrupted respiration
833595015,90481009,True,thromboendarterectomy with graft of deep profunda femoral artery
5276870011,90483007,True,dissociative neurological symptom disorder with dysphonia
149963012,90483007,False,conversion dysphonia
5276872015,90483007,False,functional neurological symptom disorder with dysphonia
833598018,90484001,True,hospital-based outpatient general surgery clinic
2572340015,90485000,True,sucking
833600012,90486004,True,witchcraft
833601011,90487008,True,aortocoronary bypass of two coronary arteries
509020015,90487008,False,cardiac revascularisation with bypass aortocoronary anastomosis of two coronary vessels
149968015,90487008,False,cardiac revascularization with bypass aortocoronary anastomosis of two coronary vessels
833603014,90489006,True,peptic ulcer with hemorrhage AND with perforation but without obstruction
509021016,90489006,False,peptic ulcer with haemorrhage AND with perforation but without obstruction
833605019,90490002,True,tenolysis of extensor tendon of forearm
1472710012,9049009,True,insertion of needle into artery of extremity
15936013,9049009,False,introduction of needle into artery of extremity
2914689019,90491003,True,antibody capture enzyme immunoassay test
149978017,90491003,False,antibody capture EIA test
833608017,90492005,True,Gobiesox eugrammus
149980011,90492005,False,lined clingfish
833609013,90493000,True,arteriolar nephrosclerosis
3793591017,90493000,False,arteriolar sclerosis of renal arterioles
3793592012,90493000,False,arteriosclerosis of renal arterioles
1205277015,90494006,True,mitochondrial cristae
833611016,90495007,True,plant alcoholic oil
833612011,90496008,True,generalized epidermolysis bullosa simplex
149987014,90496008,False,Kobner disease
1235568010,90496008,False,Koebner epidermolysis bullosa
149988016,90496008,False,"epidermolysis bullosa simplex, Kobner type"
509024012,90496008,False,generalised epidermolysis bullosa simplex
833615013,90499001,True,thromboendarterectomy with graft of axillary-brachial artery
833617017,90500005,True,carnitine palmitoyltransferase deficiency
